"Tweet Id","Text","Name","Screen Name","UTC","Created At","Favorites","Retweets","Language","Client","Tweet Type","URLs","Hashtags","Mentions","Media Type","Media URLs",""
"1386687430250618885","Por que criar um partido político no Brasil é uma estratégia que dá certo. Saiba mais em menos linhas no @OGloboAnalitico . https://t.co/BBOjKyxWKG https://t.co/NOhrUyou3N","O Globo Brasil","OGloboPolitica","2021-04-26T14:23:41.000Z","Mon Apr 26 14:23:41 +0000 2021","10","3","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/2Qp1d8v ","0","1","photo","https://pbs.twimg.com/media/Ez6A3q4WYAM5RH0.jpg",""
"1386678572560039937","Ex-ministro da Saúde Eduardo Pazuello é flagrado sem máscara em shopping de Manaus https://t.co/fA52B9dFjb https://t.co/Z9ag2M1Omg","O Globo Brasil","OGloboPolitica","2021-04-26T13:48:29.000Z","Mon Apr 26 13:48:29 +0000 2021","270","37","pt","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Tweet","https://glo.bo/32Rh1TQ ","0","0","photo","https://pbs.twimg.com/media/Ez54tBqXoAEsTPh.jpg",""
"1386671328867110912",". @ArthurLira_ afirma que não há razão para 95% dos pedidos de impeachment contra @jairbolsonaro 
https://t.co/83pfytZlfV https://t.co/xpX1fMOF72","O Globo Brasil","OGloboPolitica","2021-04-26T13:19:42.000Z","Mon Apr 26 13:19:42 +0000 2021","241","27","pt","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Tweet","https://glo.bo/3sPzbQt ","0","2","photo","https://pbs.twimg.com/media/Ez5yK3bWYAInHLl.jpg",""
"1386662595327782914",". @laurojardim: CPI da Covid: a estratégia de 'contenção de danos' dos governistas https://t.co/Ng3LQdaTyi https://t.co/yYcX6B9Okc","O Globo Brasil","OGloboPolitica","2021-04-26T12:45:00.000Z","Mon Apr 26 12:45:00 +0000 2021","15","1","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","https://glo.bo/3dPKcwQ ","0","1","photo","https://pbs.twimg.com/media/Ez5j48-X0AkTWy4.jpg",""
"1386658822886932491",". @malugaspar: Cortes no Orçamento podem render a @jairbolsonaro nova briga com o Congresso https://t.co/6o2tJle5xz https://t.co/hqP4YPyuhL","O Globo Brasil","OGloboPolitica","2021-04-26T12:30:00.000Z","Mon Apr 26 12:30:00 +0000 2021","29","1","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","https://glo.bo/2QYOYPI ","0","2","photo","https://pbs.twimg.com/media/Ez5jXFYXMAMF3yv.jpg",""
"1386654688058253314",". @BelaMegale: @gilmarmendes prestes a decidir se estende parcialidade de @SF_Moro a outras acusações contra @LulaOficial 
https://t.co/0Th814WTk8 https://t.co/Ln13LGaaBM","O Globo Brasil","OGloboPolitica","2021-04-26T12:13:35.000Z","Mon Apr 26 12:13:35 +0000 2021","40","4","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","https://glo.bo/2Pm2D2O ","0","4","photo","https://pbs.twimg.com/media/Ez5jEsbXsAIUKog.jpg",""
"1386649895696797699","PMB é o décimo partido que muda de nome em dez anos; veja outros. https://t.co/cJZhCFLuv9 https://t.co/asTmBzI6my","O Globo Brasil","OGloboPolitica","2021-04-26T11:54:32.000Z","Mon Apr 26 11:54:32 +0000 2021","25","0","pt","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Tweet","https://glo.bo/3xpGaTP ","0","0","photo","https://pbs.twimg.com/media/Ez5et6JX0AgwCMW.jpg",""
"1386632329364447232","Fernando Gabeira: A vida começa agora a cobrar os crimes de @jairbolsonaro. https://t.co/O7lT8TwWBf https://t.co/xJt9unXJVJ","O Globo Brasil","OGloboPolitica","2021-04-26T10:44:44.000Z","Mon Apr 26 10:44:44 +0000 2021","326","36","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/3nkvvVX ","0","1","photo","https://pbs.twimg.com/media/Ez5OwXVWEAENt5y.jpg",""
"1386627655815114760","Entenda as 23 acusações esperadas pelo governo de @jairbolsonaro na CPI da Covid-19. https://t.co/EL5HvyZjDd https://t.co/bMQ7MaigIo","O Globo Brasil","OGloboPolitica","2021-04-26T10:26:10.000Z","Mon Apr 26 10:26:10 +0000 2021","88","7","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/3xn3X6N ","0","1","photo","https://pbs.twimg.com/media/Ez5KgUEXsAUQibt.jpg",""
"1386624383926603776","Covid-19: vereadores criam leis para driblar medidas restritivas de governadores. https://t.co/OEBiTjN2DQ https://t.co/OyXEYKt2OC","O Globo Brasil","OGloboPolitica","2021-04-26T10:13:10.000Z","Mon Apr 26 10:13:10 +0000 2021","12","6","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/3nkDZfw ","0","0","photo","https://pbs.twimg.com/media/Ez5Hh4mXIAUatlo.jpg",""
"1386623773873512450","Pressionado, @planalto atua para se proteger de ações no @TCUoficial . https://t.co/TjV817ucMG https://t.co/qXhwSbjHy9","O Globo Brasil","OGloboPolitica","2021-04-26T10:10:44.000Z","Mon Apr 26 10:10:44 +0000 2021","15","1","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/3aDW5En ","0","2","photo","https://pbs.twimg.com/media/Ez5G-YVXMAEayA6.jpg",""
"1386622431159275525","Bom dia, leitor! Tenha um excelente início de semana com saúde e paz. Siga aqui as principais notícias da política nacional e os acontecimentos mais importantes pelo país. https://t.co/WdcWA6PqJe https://t.co/v84YIuv1UJ","O Globo Brasil","OGloboPolitica","2021-04-26T10:05:24.000Z","Mon Apr 26 10:05:24 +0000 2021","19","2","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","http://glo.bo/2r04319 ","0","0","photo","https://pbs.twimg.com/media/Ez5FwIdWEAIEDzT.jpg",""
"1386413101872947200","Governo faz 'mutirão' e pede que ministérios preparem defesa contra 23 possíveis acusações na CPI da Covid https://t.co/saejerjcRN https://t.co/eqyxdPclyO","O Globo Brasil","OGloboPolitica","2021-04-25T20:13:36.000Z","Sun Apr 25 20:13:36 +0000 2021","121","23","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/3gC8qfQ ","0","0","photo","https://pbs.twimg.com/media/Ez2HXpOWYAMbws7.jpg",""
"1386339271913742338","Investigações e desgastes em meio à pandemia derrubam secretários estaduais de Saúde. https://t.co/1GMOsStZWI https://t.co/g6aZ2xvWB3","O Globo Brasil","OGloboPolitica","2021-04-25T15:20:14.000Z","Sun Apr 25 15:20:14 +0000 2021","28","4","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","http://glo.bo/3sUntnz ","0","0","photo","https://pbs.twimg.com/media/Ez1EOI2WEAA3f41.jpg",""
"1386324126659489798","Falta de dados oficiais trava fiscalização de madeira ilegal no Brasil
https://t.co/OW8bclqsX8 https://t.co/NxM4SCahlK","O Globo Brasil","OGloboPolitica","2021-04-25T14:20:03.000Z","Sun Apr 25 14:20:03 +0000 2021","52","18","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","http://glo.bo/3nhXUfj ","0","0","photo","https://pbs.twimg.com/media/Ez02cm4WEAIJo2J.jpg",""
"1386319120614887429","Número de habeas corpus apresentados ao @STF_oficial triplica em dez anos. https://t.co/KAZaSwZwPC https://t.co/4Zc6YBW2gu","O Globo Brasil","OGloboPolitica","2021-04-25T14:00:09.000Z","Sun Apr 25 14:00:09 +0000 2021","31","4","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","http://glo.bo/3gIvl9D ","0","1","photo","https://pbs.twimg.com/media/Ez0x5MJWQAc5HV5.jpg",""
"1386317447846776838",".@davialcolumbre pede ao @SenadoFederal reembolso de R$ 513 mil gastos em 2020. https://t.co/htKbF8yDmV https://t.co/bc20F2llRg","O Globo Brasil","OGloboPolitica","2021-04-25T13:53:30.000Z","Sun Apr 25 13:53:30 +0000 2021","34","13","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/2QvaJ9Z ","0","2","photo","https://pbs.twimg.com/media/Ez0wX2aXIAM5sjU.jpg",""
"1386304021850374144","‘Temos que chegar a um nome de centro até novembro’, diz @jdoriajr. https://t.co/wZNVt3CD3U https://t.co/ClDdpv1zMJ","O Globo Brasil","OGloboPolitica","2021-04-25T13:00:09.000Z","Sun Apr 25 13:00:09 +0000 2021","89","7","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","http://glo.bo/3gC4sUt ","0","1","photo","https://pbs.twimg.com/media/Ez0kKVmX0AMzxuk.jpg",""
"1386300219344760833","Merval Pereira: Em 2022, possivelmente ficaremos diante de dois 'erros antigos'. https://t.co/QL3I93Ab5z https://t.co/LjtnWaHid7","O Globo Brasil","OGloboPolitica","2021-04-25T12:45:03.000Z","Sun Apr 25 12:45:03 +0000 2021","860","106","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/3gyUOSJ ","0","0","photo","https://pbs.twimg.com/media/Ez0gtAmWUAUBvXS.jpg",""
"1386296447499386883","Planalto irá preparar Pazuello para enfrentar CPI da Covid. https://t.co/wvPCDu4yEZ https://t.co/GjRsxLEnVr","O Globo Brasil","OGloboPolitica","2021-04-25T12:30:03.000Z","Sun Apr 25 12:30:03 +0000 2021","89","13","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","http://glo.bo/3tSIK2p ","0","0","photo","https://pbs.twimg.com/media/Ez0dRcxX0AULJGz.jpg",""
"1386288912029691912","CPI da Covid: governadores preparam reação jurídica. https://t.co/Gz4CGBqEmh https://t.co/BvMIqc8cI8","O Globo Brasil","OGloboPolitica","2021-04-25T12:00:07.000Z","Sun Apr 25 12:00:07 +0000 2021","92","6","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/3dPF3Vz ","0","0","photo","https://pbs.twimg.com/media/Ez0Wa2lWQAM4giC.jpg",""
"1386281349619798017","Elio Gaspari: Vinte e quatro governadores numa impertinência. https://t.co/L8comTTza5 https://t.co/7dvF68tVqk","O Globo Brasil","OGloboPolitica","2021-04-25T11:30:04.000Z","Sun Apr 25 11:30:04 +0000 2021","18","1","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/3xm0cOY ","0","0","photo","https://pbs.twimg.com/media/Ez0PipEWEAAi5JG.jpg",""
"1386275051960418304","Alvo da CPI da Covid, @jairbolsonaro constrói alianças eleitorais no @SenadoFederal. https://t.co/7rJQVJZ8t0 https://t.co/06DE85oTDz","O Globo Brasil","OGloboPolitica","2021-04-25T11:05:02.000Z","Sun Apr 25 11:05:02 +0000 2021","29","10","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/3sPXGgn ","0","2","photo","https://pbs.twimg.com/media/Ez0J0D8XIAEVCXi.jpg",""
"1386272533310230531","Investigações e desgastes em meio à pandemia derrubam secretários estaduais de Saúde. https://t.co/yq7DvPu39i https://t.co/KLzM6zBYRv","O Globo Brasil","OGloboPolitica","2021-04-25T10:55:02.000Z","Sun Apr 25 10:55:02 +0000 2021","28","6","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/3sUntnz ","0","0","photo","https://pbs.twimg.com/media/Ez0HhfYXoAEn1Hf.jpg",""
"1386270020926427141","Número de habeas corpus apresentados ao @STF_oficial triplica em dez anos. https://t.co/dKydlRql7v https://t.co/WMcwZputpV","O Globo Brasil","OGloboPolitica","2021-04-25T10:45:03.000Z","Sun Apr 25 10:45:03 +0000 2021","19","6","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/3gIvl9D ","0","1","photo","https://pbs.twimg.com/media/Ez0FPOXWYAIcZXT.jpg",""
"1386267502435524610","Falta de dados oficiais trava fiscalização de madeira ilegal no Brasil
https://t.co/UPaNiRLSNn https://t.co/JzC4IbGDqM","O Globo Brasil","OGloboPolitica","2021-04-25T10:35:02.000Z","Sun Apr 25 10:35:02 +0000 2021","39","17","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/3nhXUfj ","0","0","photo","https://pbs.twimg.com/media/Ez0C8pcXsAMp8z7.jpg",""
"1386264982308933634","‘Temos que chegar a um nome de centro até novembro’, diz @jdoriajr. https://t.co/mwTbqZWoQX https://t.co/2F9bWQ80sY","O Globo Brasil","OGloboPolitica","2021-04-25T10:25:01.000Z","Sun Apr 25 10:25:01 +0000 2021","329","33","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/3gC4sUt ","0","1","photo","https://pbs.twimg.com/media/Ez0Ap-AWEAIWI4w.jpg",""
"1386262468318711809","Planalto irá preparar Pazuello para enfrentar CPI da Covid. https://t.co/N1CXNedxmQ https://t.co/lU8RS89yOE","O Globo Brasil","OGloboPolitica","2021-04-25T10:15:02.000Z","Sun Apr 25 10:15:02 +0000 2021","25","4","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/3tSIK2p ","0","0","photo","https://pbs.twimg.com/media/Ezz-XmcWYAAY_cH.jpg",""
"1386261922086014978","Pandemia de Covid-19 impede calendário de eleições suplementares. https://t.co/s69XJw61Lk https://t.co/lz1OYyRqEh","O Globo Brasil","OGloboPolitica","2021-04-25T10:12:52.000Z","Sun Apr 25 10:12:52 +0000 2021","8","1","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/3sRdIGK ","0","0","photo","https://pbs.twimg.com/media/Ezz931CWUAEDxUS.jpg",""
"1386260919022362626","Bom dia, leitor! Siga aqui as principais notícias da política nacional e os acontecimentos mais importantes pelo país. https://t.co/WdcWA771AM https://t.co/nTD6StQqw6","O Globo Brasil","OGloboPolitica","2021-04-25T10:08:53.000Z","Sun Apr 25 10:08:53 +0000 2021","11","1","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","http://glo.bo/2r04319 ","0","0","photo","https://pbs.twimg.com/media/Ezz89bnWQAExh1r.jpg",""
"1386125797874978817","Mega-Sena acumula e pode pagar R$ 28 milhões na quarta. https://t.co/s1w5dBWmsX https://t.co/yPWEjE1eaG","O Globo Brasil","OGloboPolitica","2021-04-25T01:11:57.000Z","Sun Apr 25 01:11:57 +0000 2021","42","6","pt","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Tweet","https://glo.bo/3vh8zcJ ","0","0","photo","https://pbs.twimg.com/media/EzyCB1AWEAAJ0A4.jpg",""
"1386028621605871621","Governadores e oposição criticam hipótese de uso das Forças Armadas contra medidas restritivas da Covid, citada por @JairBolsonaro. https://t.co/UYCCoC2DNf https://t.co/6UYth32Sv7","O Globo Brasil","OGloboPolitica","2021-04-24T18:45:49.000Z","Sat Apr 24 18:45:49 +0000 2021","672","50","pt","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Tweet","https://glo.bo/2RSD2zq ","0","1","photo","https://pbs.twimg.com/media/EzwpkEUWEAIau05.jpg",""
"1386013925997785089","Em conversas com @jairbolsonaro, Partido da Mulher Brasileira muda de nome para 'Brasil 35'. https://t.co/fO4wZmPP2r https://t.co/eoRyfYqQmC","O Globo Brasil","OGloboPolitica","2021-04-24T17:47:25.000Z","Sat Apr 24 17:47:25 +0000 2021","203","40","pt","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Tweet","https://glo.bo/3vife6E ","0","1","photo","https://pbs.twimg.com/media/EzwcUEaXIAIjvHA.jpg",""
"1386013080304459776","Sem máscara, @jairbolsonaro volta a causar aglomeração no Distrito Federal. https://t.co/RuCtTkXafG https://t.co/tG7nlUtXAG","O Globo Brasil","OGloboPolitica","2021-04-24T17:44:03.000Z","Sat Apr 24 17:44:03 +0000 2021","135","11","pt","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Tweet","https://glo.bo/3aBNcLu ","0","1","photo","https://pbs.twimg.com/media/EzwbixKWYAUyouw.jpg",""
"1385924574504751107","Ascânio Seleme: @LulaOficial parte para o terceiro mandato. https://t.co/0n3Pyjy6X5 https://t.co/r9QuHeMA8i","O Globo Brasil","OGloboPolitica","2021-04-24T11:52:22.000Z","Sat Apr 24 11:52:22 +0000 2021","688","82","pt","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Tweet","https://glo.bo/32QiY2N ","0","1","photo","https://pbs.twimg.com/media/EzvLDKzXoAAqe8s.jpg",""
"1385901262420516869","Possível aliada de @cirogomes, @MarinaSilva critica volta do marqueteiro João Santana. https://t.co/uJzHNtzOXo https://t.co/qKkeQvY1So","O Globo Brasil","OGloboPolitica","2021-04-24T10:19:44.000Z","Sat Apr 24 10:19:44 +0000 2021","161","18","pt","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Tweet","https://glo.bo/3aAxKzb ","0","2","photo","https://pbs.twimg.com/media/Ezu12BuXIAM9FaT.jpg",""
"1385900870563414019","'Não vejo problema em aliança fora do nosso campo', diz @gleisi Hoffmann, presidente do PT. https://t.co/uoEr4o27wb https://t.co/SGnVTHZQKA","O Globo Brasil","OGloboPolitica","2021-04-24T10:18:10.000Z","Sat Apr 24 10:18:10 +0000 2021","78","9","pt","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Tweet","https://glo.bo/3tNyEQh ","0","1","photo","https://pbs.twimg.com/media/Ezu1ZpVWEAAVXf_.jpg",""
"1385748875521269761","Ministro do STF Alexandre de Moraes prorroga inquérito que apura suposta interferência de @jairbolsonaro na Polícia Federal. https://t.co/towphwd8WJ https://t.co/trwRCZDH1O","O Globo Brasil","OGloboPolitica","2021-04-24T00:14:12.000Z","Sat Apr 24 00:14:12 +0000 2021","119","15","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/3vgIT04 ","0","1","photo","https://pbs.twimg.com/media/EzsrQmNXoAMvx7-.jpg",""
"1385742386471612422","Lewandowski, do STF, autoriza senador @renancalheiros 
a ter acesso a mensagens de procuradores da Lava-Jato. https://t.co/Llx9Wzm6wK https://t.co/ea1gFpppAW","O Globo Brasil","OGloboPolitica","2021-04-23T23:48:25.000Z","Fri Apr 23 23:48:25 +0000 2021","240","23","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/3gAze00 ","0","1","photo","https://pbs.twimg.com/media/EzslW2xXoAIPGrq.jpg",""
"1385741884388225024","YouTube remove mais quatro vídeos de @jairbolsonaro com defesa de remédios sem eficácia contra a Covid-19 https://t.co/mTvHOn72x3 https://t.co/9rAxcmdCkP","O Globo Brasil","OGloboPolitica","2021-04-23T23:46:25.000Z","Fri Apr 23 23:46:25 +0000 2021","513","61","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/3aDd4ql ","0","1","photo","https://pbs.twimg.com/media/Ezsk5noWYAQqvw4.jpg",""
"1385732024615514113","PSDB monta grupo para discutir regras das prévias para candidatura à Presidência. https://t.co/Ip5w07Fbtt https://t.co/ogAjAiVeS8","O Globo Brasil","OGloboPolitica","2021-04-23T23:07:14.000Z","Fri Apr 23 23:07:14 +0000 2021","21","1","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/3gAwNLa ","0","0","photo","https://pbs.twimg.com/media/Ezsb7vtWUAI9FMV.jpg",""
"1385718888911015937","Cotado como relator da CPI da Covid, @renancalheiros se declara nas redes 'parcial' para tratar de repasses a Alagoas. https://t.co/x1G70VVDOW https://t.co/NvYMvRSSoN","O Globo Brasil","OGloboPolitica","2021-04-23T22:15:03.000Z","Fri Apr 23 22:15:03 +0000 2021","26","4","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/3vgOymM ","0","1","photo","https://pbs.twimg.com/media/EzsP_IgWYAM4pyf.jpg",""
"1385716673873911808","Esquerda sela pacto com 'bolsonaristas arrependidos' por impeachment de Bolsonaro. @joicehasselmann, @77_frota e @KimKataguiri se unem a PT, PSOL e outras siglas de oposição. https://t.co/GDowSv5JCK https://t.co/R3HruI40DP","O Globo Brasil","OGloboPolitica","2021-04-23T22:06:15.000Z","Fri Apr 23 22:06:15 +0000 2021","555","53","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/2QlxmxI ","0","3","photo","https://pbs.twimg.com/media/EzsN-MwXoAoLGnD.jpg",""
"1385659372458676225",".@jairbolsonaro ignora críticas e insiste em nomear Pazuello para cargo no @planalto. https://t.co/IkPpyskir1 https://t.co/eQSfFM5bo2","O Globo Brasil","OGloboPolitica","2021-04-23T18:18:33.000Z","Fri Apr 23 18:18:33 +0000 2021","94","13","pt","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Tweet","https://glo.bo/3eknJXK ","0","2","photo","https://pbs.twimg.com/media/EzrZ2zqXIAEN-fE.jpg",""
