"Tweet Id","Text","Name","Screen Name","UTC","Created At","Favorites","Retweets","Language","Client","Tweet Type","URLs","Hashtags","Mentions","Media Type","Media URLs","","",""
"1386674009723523072","Dificuldade com idioma e distância da família: Inter pede calma com adaptação de Palacios https://t.co/SxoJzoUdYU https://t.co/oa5Dq9AGQh","ge RS","globoesporters","2021-04-26T13:30:21.000Z","Mon Apr 26 13:30:21 +0000 2021","15","1","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","https://glo.bo/3nq5tRc ","0","0","photo","https://pbs.twimg.com/media/Ez50pzKXIAIDbKp.jpg","","",""
"1386663462479204357","Pinares segue recuperação de lesão e deve ficar à disposição de Tiago Nunes em até duas semanas https://t.co/pPLqGElNLa https://t.co/X7dtBS7WoK","ge RS","globoesporters","2021-04-26T12:48:27.000Z","Mon Apr 26 12:48:27 +0000 2021","49","3","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","https://glo.bo/3sYOnuU ","0","0","photo","https://pbs.twimg.com/media/Ez5rDptXMAE1Lbd.jpg","","",""
"1386661521594388482","Espaços no campo e tempo de adaptação: Ramírez revela papo e confia em evolução de Patrick https://t.co/dcNj5afA94 https://t.co/MNuvhXC9po","ge RS","globoesporters","2021-04-26T12:40:44.000Z","Mon Apr 26 12:40:44 +0000 2021","14","1","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","https://glo.bo/3vlumQM ","0","0","photo","https://pbs.twimg.com/media/Ez5pTEXX0AAgXd2.jpg","","",""
"1386660172525973510","Fim do rodízio? Tiago Nunes quer manter base do time em busca de formação ideal no Grêmio https://t.co/MtNFme8xeD https://t.co/mCceAwoTVG","ge RS","globoesporters","2021-04-26T12:35:22.000Z","Mon Apr 26 12:35:22 +0000 2021","87","8","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","https://glo.bo/2RVDQUa ","0","0","photo","https://pbs.twimg.com/media/Ez5oC9cXIAALuno.jpg","","",""
"1386453027381465092","Com Taison, Inter se reapresenta e começa preparação para enfrentar o Deportivo Táchira https://t.co/cMBLOANyaa https://t.co/BRrFaFxEza","ge RS","globoesporters","2021-04-25T22:52:15.000Z","Sun Apr 25 22:52:15 +0000 2021","38","0","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","https://glo.bo/2Qv5bMI ","0","0","photo","https://pbs.twimg.com/media/Ez2rrAYXEAgz5Dy.jpg","","",""
"1386419273405448193","Grêmio inicia negociações para renovar com volante Victor Bobsin https://t.co/ToxqpWljWV https://t.co/jCNrfSlFT4","ge RS","globoesporters","2021-04-25T20:38:07.000Z","Sun Apr 25 20:38:07 +0000 2021","66","4","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","https://glo.bo/3tV6mn5 ","0","0","photo","https://pbs.twimg.com/media/Ez2M8tQXIAoFMOc.jpg","","",""
"1386407581078343681","Inter não chega a acordo com Nacional-URU por promessa de 18 anos para o time sub-20 https://t.co/dglmtNgOsY https://t.co/cDa3yMwaaF","ge RS","globoesporters","2021-04-25T19:51:40.000Z","Sun Apr 25 19:51:40 +0000 2021","23","1","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","https://glo.bo/3ni2HgK ","0","0","photo","https://pbs.twimg.com/media/Ez2CVd8WQAMVYo7.jpg","","",""
"1386383729334132736","Ramírez terá conversa com Taison sobre posição e não descarta estreia contra o Táchira https://t.co/KkvN3J0cYd https://t.co/2in6OnsTD5","ge RS","globoesporters","2021-04-25T18:16:53.000Z","Sun Apr 25 18:16:53 +0000 2021","31","2","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","https://glo.bo/3dNFsrx ","0","0","photo","https://pbs.twimg.com/media/Ez1spFKX0AQn0Gz.jpg","","",""
"1386378754822397952","Tiago Nunes abre possibilidade de usar Rafinha fora da lateral no Grêmio: ""Precisa ser testado"" https://t.co/RAtUqPTM8b https://t.co/E7ayVIzMC5","ge RS","globoesporters","2021-04-25T17:57:07.000Z","Sun Apr 25 17:57:07 +0000 2021","58","0","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","https://glo.bo/3tSMFfB ","0","0","photo","https://pbs.twimg.com/media/Ez1oHYYWYAMP2h3.jpg","","",""
"1386369099484344322","Federação Gaúcha de Futebol anuncia o uso do VAR para os jogos das semifinais do Gauchão https://t.co/8LN3gCgFUv https://t.co/E2TR3N0bRq","ge RS","globoesporters","2021-04-25T17:18:45.000Z","Sun Apr 25 17:18:45 +0000 2021","27","1","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","https://glo.bo/3tQwwaD ","0","0","photo","https://pbs.twimg.com/media/Ez1fUukXEAUi5_Q.jpg","","",""
"1386342110983606280","De saída, Rodinei vira principal ""garçom"" do Inter e participa de 30% dos gols com Ramírez https://t.co/dWc5Yv9Orw https://t.co/4QAkaxHX0F","ge RS","globoesporters","2021-04-25T15:31:30.000Z","Sun Apr 25 15:31:30 +0000 2021","9","0","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","https://glo.bo/32NmY4o ","0","0","photo","https://pbs.twimg.com/media/Ez1Gx7ZXEAM0LAS.jpg","","",""
"1386341359154573316","Inter faz 11 gols em dois jogos pelo Gauchão e tem exemplo a seguir na Libertadores https://t.co/6PgN1FAKz9 https://t.co/PY9AVd19IA","ge RS","globoesporters","2021-04-25T15:28:31.000Z","Sun Apr 25 15:28:31 +0000 2021","13","0","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","https://glo.bo/3tR2hQS ","0","0","photo","https://pbs.twimg.com/media/Ez1GGvRWEAEaZbT.jpg","","",""
"1386339911381442563","Diego Souza supera início de 2020 no Grêmio e vive melhor arrancada da carreira https://t.co/0bOedzOdKb https://t.co/ZJSl367Cq8","ge RS","globoesporters","2021-04-25T15:22:46.000Z","Sun Apr 25 15:22:46 +0000 2021","35","4","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","https://glo.bo/3sLmYfz ","0","0","photo","https://pbs.twimg.com/media/Ez1EyWmXMAUHLuq.jpg","","",""
"1386339001435578379","Análise: primeiro Grêmio de Tiago Nunes sofre pelo alto, mas é efetivo para construir vitória https://t.co/rWXuvJqlSP https://t.co/DDEF6pUa9S","ge RS","globoesporters","2021-04-25T15:19:09.000Z","Sun Apr 25 15:19:09 +0000 2021","14","4","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","https://glo.bo/2R169jS ","0","0","photo","https://pbs.twimg.com/media/Ez1D9ctWYAI3kFY.jpg","","",""
"1386159365217005570","Ramírez destaca ímpeto do Inter em goleada: ""Mesmo com a vantagem, não guardamos nada"" &gt; https://t.co/sQ5ddeAogo https://t.co/RkzQkgbmY4","ge RS","globoesporters","2021-04-25T03:25:20.000Z","Sun Apr 25 03:25:20 +0000 2021","19","0","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","https://glo.bo/3tTxvH1 ","0","0","photo","https://pbs.twimg.com/media/EzyglruXEAIO51b.jpg","","",""
"1386158316469030912","Rodinei dedica atuação de gala à filha recém-nascida e destaca evolução do Inter com Ramírez https://t.co/1iXETBDyz8 https://t.co/UyHA0WJsfW","ge RS","globoesporters","2021-04-25T03:21:10.000Z","Sun Apr 25 03:21:10 +0000 2021","19","1","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","https://glo.bo/2S5EEGp ","0","0","photo","https://pbs.twimg.com/media/EzyfmhKX0AAKQRK.jpg","","",""
"1386155871609278466","Tiago Nunes aprova estreia pelo Grêmio com vitória: ""Teve espírito, lutou, não desistiu"" &gt; https://t.co/v9Jbbs7Q3a https://t.co/vWxPiHkseQ","ge RS","globoesporters","2021-04-25T03:11:27.000Z","Sun Apr 25 03:11:27 +0000 2021","13","1","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","https://glo.bo/2RWAY9z ","0","0","photo","https://pbs.twimg.com/media/EzydZ_VWEAMWOYX.jpg","","",""
